record_id,entity_type,scope,incidence_statement,cardinality,source,status
SRC_PDF,source_bytes,global,Canonical two-page Selling Tafel III PDF acquired and hash-locked.,1991876 bytes,LOG_0016.pdf,PROVEN_SOURCE_BYTES
SRC_RASTER,source_raster,global,Single embedded page-2 raster extracted directly from PDF.,6716x5752 @600dpi,9116d054ae3267ae5f8a781135e434db659c4c8a6ff162cc5b6b2a12eee4c437,PROVEN_SOURCE_BYTES
FIG1_CROP,source_crop,figure1,Canonical Fig.1 crop from embedded raster.,4450x5400,ff8583eb4372d9c4c1a285010e925173c78281c1cccf62888bdae47bca2261cf,PROVEN_SOURCE_BYTES
OUTER_AXES,boundary_axis,outer_skeleton,Six external boundary lines are two-part symmetry axes.,6,Selling source text,PROVEN_COUNT_ONLY / RASTER_MATCH_NT
OUTER_CENTERS,quadripartite_center,outer_skeleton,Their six intersections are fourfold-symmetry centres.,6,Selling source text,PROVEN_COUNT_ONLY / RASTER_MATCH_NT
BOUNDARY_RULE,boundary_rule,all_fields,Every boundary line begins/ends at fissures and passes through one or more crossings.,universal,Selling source text,PROVEN_RULE
CROSSING_RULE,crossing,local_germ,Six outgoing lines of one division interleave with six of the adjoint division.,6+6 local rays,Selling source text,PROVEN_LOCAL_INCIDENCE
FISSURE_RULE,fissure,local_germ,Fissures terminate boundary lines; continuation is source-defined.,not globally enumerated,Selling source text,PROVEN_LOCAL_RULE
SERPENTINE_RULE,serpentine,figure1,Serpenting lines belong to the comparison/adjoint layer and must remain typed separately.,auto extraction finds 2 confirmed candidates,source raster + text,SOURCE_ANCHORED_PARTIAL
REINFORCED_RULE,reinforced,figure1,Reinforced traits are kept as a separate selected-territory/boundary layer.,25 source-stroke candidates,source raster,SOURCE_ANCHORED_DIAGNOSTIC
AA_HEXAGON,territory_boundary,A/a_territory,A cited territory development gives an alternating six-sided A/a boundary.,6 sides,Selling source text,PROVEN_TEXT_CONSTRAINT
REPETITION_RULE,repeated_form,development,Numerically repeated fields yield self-transformations after finite development.,finite modulo repetition,Selling source text,PROVEN_REPETITION_GATE
STABILIZER_RULE,stabilizer,repeated_field,Repeated fields and local symmetries determine stabilizers.,not exhaustively matched on raster,Selling source + v30-v36,PROVEN_RULE / ENUMERATION_NT
VECTOR_TABLES,vector_diagnostic,figure1,"Source-anchored typed vector exports exist for nodes, segments and candidate regions.",136 nodes; 105 segments; 34 region candidates,vectorizer + manifest,PROVEN_DIAGNOSTIC_GEOMETRY
FULL_FIELD_TABLE,field_complex,global,Exhaustive field incidence requires matching every raster object to source semantics and repetition/stabilizer data.,not yet certified,selling_fig1_full_600.png,NT_PENDING_SOURCE_GEOMETRIC_MATCHING
